domain,tag,title,url,status,validation_reason
networking,linux/ubuntu/bash/ssh,Ubuntu Server documentation,https://ubuntu.com/server/docs/,valid,Accepted replacement: official Ubuntu Server documentation. Stronger and more current vendor documentation than TLDP.
networking,linux/ubuntu/bash/ssh,GNU Bash Manual,https://www.gnu.org/software/bash/manual/bash.html,valid,"Accepted: trusted technical source; domain ""networking"" matches the topic; link is relevant to tag ""linux/ubuntu/bash/ssh""."
networking,linux/ubuntu/bash/ssh,Linux man-pages project,https://www.kernel.org/doc/man-pages/,valid,"Accepted: trusted technical source; domain ""networking"" matches the topic; link is relevant to tag ""linux/ubuntu/bash/ssh""."
networking,linux/ubuntu/bash/ssh,Ubuntu Server Guide,https://documentation.ubuntu.com/server/,valid,"Accepted: trusted technical source; domain ""networking"" matches the topic; link is relevant to tag ""linux/ubuntu/bash/ssh""."
networking,linux/ubuntu/bash/ssh,Ubuntu Documentation,https://help.ubuntu.com/,valid,"Accepted: trusted technical source; domain ""networking"" matches the topic; link is relevant to tag ""linux/ubuntu/bash/ssh""."
networking,linux/ubuntu/bash/ssh,systemd Documentation,https://www.freedesktop.org/software/systemd/man/latest/,valid,"Accepted: trusted technical source; domain ""networking"" matches the topic; link is relevant to tag ""linux/ubuntu/bash/ssh""."
networking,linux/ubuntu/bash/ssh,iproute2 cheat resources (man7 ip),https://man7.org/linux/man-pages/man8/ip.8.html,valid,"Accepted: trusted technical source; domain ""networking"" matches the topic; link is relevant to tag ""linux/ubuntu/bash/ssh""."
networking,linux/ubuntu/bash/ssh,ss command man page,https://man7.org/linux/man-pages/man8/ss.8.html,valid,"Accepted: trusted technical source; domain ""networking"" matches the topic; link is relevant to tag ""linux/ubuntu/bash/ssh""."
networking,linux/ubuntu/bash/ssh,netstat alternatives in iproute2,https://man7.org/linux/man-pages/man8/ip-route.8.html,valid,"Accepted: trusted technical source; domain ""networking"" matches the topic; link is relevant to tag ""linux/ubuntu/bash/ssh""."
networking,linux/ubuntu/bash/ssh,OpenSSH Manual Index,https://www.openssh.com/manual.html,valid,"Accepted: trusted technical source; domain ""networking"" matches the topic; link is relevant to tag ""linux/ubuntu/bash/ssh""."
networking,docker,Docker Documentation,https://docs.docker.com/,valid,"Accepted: trusted technical source; domain ""networking"" matches the topic; link is relevant to tag ""docker""."
networking,docker,Docker Engine Networking,https://docs.docker.com/engine/network/,valid,"Accepted: trusted technical source; domain ""networking"" matches the topic; link is relevant to tag ""docker""."
networking,docker,Docker Bridge Network Driver,https://docs.docker.com/network/drivers/bridge/,valid,"Accepted: trusted technical source; domain ""networking"" matches the topic; link is relevant to tag ""docker""."
networking,docker,Docker Host Network Driver,https://docs.docker.com/engine/network/drivers/host/,valid,"Accepted: trusted technical source; domain ""networking"" matches the topic; link is relevant to tag ""docker""."
networking,docker,Docker Container Logs,https://docs.docker.com/reference/cli/docker/container/logs/,valid,"Accepted: trusted technical source; domain ""networking"" matches the topic; link is relevant to tag ""docker""."
networking,docker,Docker Compose Networking,https://docs.docker.com/compose/how-tos/networking/,valid,"Accepted: trusted technical source; domain ""networking"" matches the topic; link is relevant to tag ""docker""."
networking,docker,Docker Port Publishing,https://docs.docker.com/engine/network/port-publishing/,valid,"Accepted: trusted technical source; domain ""networking"" matches the topic; link is relevant to tag ""docker""."
networking,docker,Docker Compose File Reference,https://docs.docker.com/reference/compose-file/,valid,"Accepted: trusted technical source; domain ""networking"" matches the topic; link is relevant to tag ""docker""."
networking,kubernetes/ingress,Kubernetes Documentation,https://kubernetes.io/docs/home/,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
networking,kubernetes/ingress,Kubernetes Services,https://kubernetes.io/docs/concepts/services-networking/service/,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
networking,kubernetes/ingress,Kubernetes Ingress,https://kubernetes.io/docs/concepts/services-networking/ingress/,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
networking,kubernetes/ingress,Kubernetes DNS,https://kubernetes.io/docs/concepts/services-networking/dns-pod-service/,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
networking,kubernetes/ingress,Kubernetes Network Policies,https://kubernetes.io/docs/concepts/services-networking/network-policies/,valid,Accepted: official or standards-based documentation; strong domain match and strong tag relevance.
